number,title,issn,eissn,publisher
3902,ENGLISH WORLD-WIDE,01728865,15699730,JOHN BENJAMINS PUBLISHING CO
3903,ENGLISH,00138215,17561124,OXFORD UNIV PRESS
3904,ENSENANZA DE LAS CIENCIAS,02124521,21746486,UNIV AUTONOMA BARCELONA
3905,ENT-EAR NOSE & THROAT JOURNAL,01455613,19427522,SAGE PUBLICATIONS INC
3906,ENTERPRISE & SOCIETY,14672227,14672235,CAMBRIDGE UNIV PRESS
3907,ENTERPRISE INFORMATION SYSTEMS,17517575,17517583,TAYLOR & FRANCIS LTD
3908,ENTERTAINMENT COMPUTING,18759521,1875953X,ELSEVIER SCI LTD
3909,ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,00138703,15707458,WILEY
3910,ENTOMOLOGIA GENERALIS,01718177,23637102,E SCHWEIZERBARTSCHE VERLAGSBUCHHANDLUNG
3911,ENTOMOLOGICA AMERICANA,19475136,19475144,
3912,ENTOMOLOGICAL NEWS,0013872X,21623236,AMER ENTOMOL SOC
3913,ENTOMOLOGICAL RESEARCH,17382297,17485967,WILEY
3914,ENTOMOLOGICAL SCIENCE,13438786,14798298,WILEY
3915,ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT,08985626,14645114,
3916,ENTREPRENEURSHIP RESEARCH JOURNAL,21946175,21575665,WALTER DE GRUYTER GMBH
3917,ENTREPRENEURSHIP THEORY AND PRACTICE,10422587,15406520,SAGE PUBLICATIONS INC
3918,ENTROPY,,10994300,MDPI
3919,ENVIRONMENT AND BEHAVIOR,00139165,1552390X,SAGE PUBLICATIONS INC
3920,ENVIRONMENT AND DEVELOPMENT ECONOMICS,1355770X,14694395,CAMBRIDGE UNIV PRESS
3921,ENVIRONMENT AND HISTORY,09673407,17527023,WHITE HORSE PRESS
3922,ENVIRONMENT AND PLANNING A- ECONOMY AND SPACE,0308518X,14723409,SAGE PUBLICATIONS INC
3923,ENVIRONMENT AND PLANNING B- URBAN ANALYTICS AND CITY SCIENCE,23998083,23998091,SAGE PUBLICATIONS LTD
3924,ENVIRONMENT AND PLANNING C- POLITICS AND SPACE,23996544,23996552,SAGE PUBLICATIONS LTD
3925,ENVIRONMENT AND PLANNING D- SOCIETY & SPACE,02637758,14723433,SAGE PUBLICATIONS LTD
3926,ENVIRONMENT AND PLANNING E- NATURE AND SPACE,25148486,25148494,SAGE PUBLICATIONS INC
3927,ENVIRONMENT AND URBANIZATION,09562478,17460301,SAGE PUBLICATIONS LTD
3928,ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,1387585X,15732975,SPRINGER
3929,ENVIRONMENT INTERNATIONAL,01604120,18736750,PERGAMON-ELSEVIER SCIENCE LTD
3930,ENVIRONMENT PROTECTION ENGINEERING,03248828,2450260X,TECHNICAL UNIV WROCLAW
3931,ENVIRONMENT,00139157,19399154,
3932,ENVIRONMENTAL & ENGINEERING GEOSCIENCE,10787275,15589161,"GEOLOGICAL SOC AMER, INC"
3933,ENVIRONMENTAL & RESOURCE ECONOMICS,09246460,15731502,SPRINGER
3934,ENVIRONMENTAL AND ECOLOGICAL STATISTICS,13528505,15733009,SPRINGER
3935,ENVIRONMENTAL AND EXPERIMENTAL BOTANY,00988472,18737307,PERGAMON-ELSEVIER SCIENCE LTD
3936,ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,08936692,10982280,WILEY
3937,ENVIRONMENTAL ARCHAEOLOGY,14614103,17496314,
3938,ENVIRONMENTAL BIOLOGY OF FISHES,03781909,15735133,SPRINGER
3939,ENVIRONMENTAL CHEMISTRY LETTERS,16103653,16103661,SPRINGER HEIDELBERG
3940,ENVIRONMENTAL CHEMISTRY,14482517,14498979,CSIRO PUBLISHING
3941,ENVIRONMENTAL COMMUNICATION-A JOURNAL OF NATURE AND CULTURE,17524032,17524040,
3942,ENVIRONMENTAL CONSERVATION,03768929,14694387,CAMBRIDGE UNIV PRESS
3943,ENVIRONMENTAL DEVELOPMENT,22114645,22114653,ELSEVIER
3944,ENVIRONMENTAL EARTH SCIENCES,18666280,18666299,SPRINGER
3945,ENVIRONMENTAL EDUCATION RESEARCH,13504622,14695871,
3946,ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL,15829596,18433707,GH ASACHI TECHNICAL UNIV IASI
3947,ENVIRONMENTAL ENGINEERING RESEARCH,12261025,2005968X,
3948,ENVIRONMENTAL ENGINEERING SCIENCE,10928758,15579018,"MARY ANN LIEBERT, INC"
3949,ENVIRONMENTAL ENTOMOLOGY,0046225X,19382936,OXFORD UNIV PRESS INC
3950,ENVIRONMENTAL ETHICS,01634275,21537895,ENVIRONMENTAL PHILOSOPHY INC
3951,ENVIRONMENTAL EVIDENCE,,20472382,BMC
3952,ENVIRONMENTAL FLUID MECHANICS,15677419,15731510,SPRINGER
3953,ENVIRONMENTAL FORENSICS,15275922,15275930,TAYLOR & FRANCIS LTD
3954,ENVIRONMENTAL GEOCHEMISTRY AND HEALTH,02694042,15732983,SPRINGER
3955,ENVIRONMENTAL GEOTECHNICS,,2051803X,EMERALD GROUP PUBLISHING LTD
3956,ENVIRONMENTAL HAZARDS-HUMAN AND POLICY DIMENSIONS,17477891,18780059,TAYLOR & FRANCIS LTD
3957,ENVIRONMENTAL HEALTH AND PREVENTIVE MEDICINE,1342078X,13474715,JAPANESE SOC HYGIENE
3958,ENVIRONMENTAL HEALTH PERSPECTIVES,00916765,15529924,US DEPT HEALTH HUMAN SCIENCES PUBLIC HEALTH SCIENCE
3959,ENVIRONMENTAL HEALTH,,1476069X,BMC
3960,ENVIRONMENTAL HISTORY,10845453,19308892,UNIV CHICAGO PRESS
3961,ENVIRONMENTAL IMPACT ASSESSMENT REVIEW,01959255,18736432,ELSEVIER SCIENCE INC
3962,ENVIRONMENTAL INNOVATION AND SOCIETAL TRANSITIONS,22104224,22104232,ELSEVIER
3963,ENVIRONMENTAL MANAGEMENT,0364152X,14321009,SPRINGER
3964,ENVIRONMENTAL MICROBIOLOGY REPORTS,17582229,17582229,WILEY
3965,ENVIRONMENTAL MICROBIOLOGY,14622912,14622920,WILEY
3966,ENVIRONMENTAL MICROBIOME,,25246372,BMC
3967,ENVIRONMENTAL MODELING & ASSESSMENT,14202026,15732967,SPRINGER
3968,ENVIRONMENTAL MODELLING & SOFTWARE,13648152,18736726,ELSEVIER SCI LTD
3969,ENVIRONMENTAL MONITORING AND ASSESSMENT,01676369,15732959,SPRINGER
3970,ENVIRONMENTAL POLICY AND GOVERNANCE,1756932X,17569338,"WILEY PERIODICALS, INC"
3971,ENVIRONMENTAL POLITICS,09644016,17438934,
3972,ENVIRONMENTAL POLLUTANTS AND BIOAVAILABILITY,26395932,26395940,TAYLOR & FRANCIS LTD
3973,ENVIRONMENTAL POLLUTION,02697491,18736424,ELSEVIER SCI LTD
3974,ENVIRONMENTAL PROGRESS & SUSTAINABLE ENERGY,19447442,19447450,WILEY
3975,ENVIRONMENTAL RESEARCH COMMUNICATIONS,25157620,25157620,IOP PUBLISHING LTD
3976,ENVIRONMENTAL RESEARCH LETTERS,17489326,17489326,IOP PUBLISHING LTD
3977,ENVIRONMENTAL RESEARCH,00139351,10960953,
3978,ENVIRONMENTAL REVIEWS,12086053,11818700,CANADIAN SCIENCE PUBLISHING
3979,ENVIRONMENTAL SCIENCE & POLICY,14629011,18736416,ELSEVIER SCI LTD
3980,ENVIRONMENTAL SCIENCE & TECHNOLOGY LETTERS,23288930,23288930,AMER CHEMICAL SOC
3981,ENVIRONMENTAL SCIENCE & TECHNOLOGY,0013936X,15205851,AMER CHEMICAL SOC
3982,ENVIRONMENTAL SCIENCE AND ECOTECHNOLOGY,26664984,26664984,ELSEVIER
3983,ENVIRONMENTAL SCIENCE-NANO,20518153,20518161,ROYAL SOC CHEMISTRY
3984,ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS,20507887,20507895,ROYAL SOC CHEMISTRY
3985,ENVIRONMENTAL SCIENCES EUROPE,21904707,21904715,SPRINGER
3986,ENVIRONMENTAL SCIENCE-WATER RESEARCH & TECHNOLOGY,20531400,20531419,ROYAL SOC CHEMISTRY
3987,ENVIRONMENTAL TECHNOLOGY & INNOVATION,23521864,23521864,ELSEVIER
3988,ENVIRONMENTAL TECHNOLOGY,09593330,1479487X,TAYLOR & FRANCIS LTD
3989,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,07307268,15528618,OXFORD UNIV PRESS
3990,ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY,13826689,18727077,ELSEVIER
3991,ENVIRONMENTAL TOXICOLOGY,15204081,15227278,WILEY
3992,ENVIRONMENTAL VALUES,09632719,17527015,SAGE PUBLICATIONS INC
3993,ENVIRONMETRICS,11804009,1099095X,WILEY
3994,ENZYME AND MICROBIAL TECHNOLOGY,01410229,18790909,ELSEVIER SCIENCE INC
3995,EPHEMERIDES THEOLOGICAE LOVANIENSES,00139513,17831423,PEETERS
3996,EPIDEMICS,17554365,18780067,ELSEVIER
3997,EPIDEMIOLOGIA & PREVENZIONE,11209763,23851937,INFERENZE SCARL
3998,EPIDEMIOLOGIC REVIEWS,0193936X,14786729,OXFORD UNIV PRESS INC
3999,EPIDEMIOLOGIE MIKROBIOLOGIE IMUNOLOGIE,12107913,,
4000,EPIDEMIOLOGY & INFECTION,09502688,14694409,CAMBRIDGE UNIV PRESS
4001,EPIDEMIOLOGY AND HEALTH,20927193,20927193,KOREAN SOC EPIDEMIOLOGY
4002,EPIDEMIOLOGY AND PSYCHIATRIC SCIENCES,20457960,20457979,CAMBRIDGE UNIV PRESS
4003,EPIDEMIOLOGY,10443983,15315487,LIPPINCOTT WILLIAMS & WILKINS
4004,EPIGENETICS & CHROMATIN,,17568935,BMC
4005,EPIGENETICS,15592294,15592308,TAYLOR & FRANCIS INC
4006,EPIGENOMICS,17501911,1750192X,TAYLOR & FRANCIS LTD
4007,EPILEPSIA OPEN,,24709239,WILEY
4008,EPILEPSIA,00139580,15281167,WILEY
4009,EPILEPSY & BEHAVIOR,15255050,15255069,
4010,EPILEPSY CURRENTS,15357597,15357511,SAGE PUBLICATIONS INC
4011,EPILEPSY RESEARCH,09201211,18726844,ELSEVIER
4012,EPILEPTIC DISORDERS,12949361,19506945,WILEY
4013,EPISODES,07053797,07053797,GEOLOGICAL SOC KOREA
4014,EPISTEME-A JOURNAL OF INDIVIDUAL AND SOCIAL EPISTEMOLOGY,17423600,17500117,CAMBRIDGE UNIV PRESS
4015,EPJ DATA SCIENCE,,21931127,SPRINGER
4016,EPJ QUANTUM TECHNOLOGY,26624400,21960763,SPRINGER
4017,EPL,02955075,12864854,IOP PUBLISHING LTD
4018,EPMA JOURNAL,18785077,18785085,SPRINGER INT PUBL AG
4019,E-POLYMERS,21974586,16187229,DE GRUYTER POLAND SP Z O O
4020,EQUINE VETERINARY EDUCATION,09577734,20423292,WILEY
4021,EQUINE VETERINARY JOURNAL,04251644,20423306,WILEY
4022,ERDE,00139998,00139998,GESELLSCHAFT ERDKUNDE BERLIN
4023,ERDKUNDE,00140015,00140015,
4024,ERGO-AN OPEN ACCESS JOURNAL OF PHILOSOPHY,23304014,23304014,MICHIGAN PUBLISHING
4025,ERGODIC THEORY AND DYNAMICAL SYSTEMS,01433857,14694417,CAMBRIDGE UNIV PRESS
4026,ERGONOMICS,00140139,13665847,TAYLOR & FRANCIS LTD
4027,ERJ OPEN RESEARCH,,23120541,
4028,ERKENNTNIS,01650106,15728420,SPRINGER
4029,ERNAHRUNGS UMSCHAU,01740008,01740008,UMSCHAU VERLAG
4030,ESAIM-CONTROL OPTIMISATION AND CALCULUS OF VARIATIONS,12928119,12623377,EDP SCIENCES S A
4031,ESAIM-MATHEMATICAL MODELLING AND NUMERICAL ANALYSIS,28227840,28047214,EDP SCIENCES S A
4032,ESAIM-PROBABILITY AND STATISTICS,12928100,12623318,EDP SCIENCES S A
4033,ESC HEART FAILURE,20555822,20555822,"WILEY PERIODICALS, INC"
4034,ESCIENCE,20972431,26671417,KEAI PUBLISHING LTD
4035,ESMO OPEN,,20597029,ELSEVIER
4036,ESOPHAGUS,16129059,16129067,SPRINGER JAPAN KK
4037,ESPRIT CREATEUR,00140767,19310234,JOHNS HOPKINS UNIV PRESS
4038,ESPRIT,00140759,21114579,ESPRIT
4039,ESQ-A JOURNAL OF NINETEENTH- CENTURY AMERICAN LITERATURE AND CULTURE,00938297,1935021X,WASHINGTON STATE UNIV
4040,ESSAYS IN BIOCHEMISTRY,00711365,17441358,PORTLAND PRESS LTD
4041,ESSAYS IN CRITICISM,00140856,14716852,OXFORD UNIV PRESS
4042,ESTETIKA-THE EUROPEAN JOURNAL OF AESTHETICS,,25710915,HELSINKI UNIV PRESS
4043,ESTONIAN JOURNAL OF ARCHAEOLOGY,14062933,17367484,ESTONIAN ACAD PUBLISHERS
4044,ESTONIAN JOURNAL OF EARTH SCIENCES,17364728,17367557,ESTONIAN ACAD PUBLISHERS
4045,ESTRENO-CUADERNOS DEL TEATRO ESPANOL CONTEMPORANEO,00978663,,ESTRENO
4046,ESTUARIES AND COASTS,15592723,15592731,SPRINGER
4047,ESTUARINE COASTAL AND SHELF SCIENCE,02727714,10960015,
4048,ESTUDIOS ATACAMENOS,07181043,07181043,"UNIV CATOLICA NORTE, INST INVEST ARQUEOLOGICAS Y MUSEO RP GUSTAVO LE PAIGE"
4049,ESTUDIOS DE ECONOMIA,07185286,07185286,UNIV CHILE DEPT ECONOMICS
4050,ESTUDIOS FILOLOGICOS,00711713,07176171,UNIV AUSTRAL CHILE
4051,ESTUDIOS GEOLOGICOS-MADRID,03670449,19883250,
4052,ESTUDOS IBERO-AMERICANOS,01014064,1980864X,PONTIFICIA UNIVERSIDADE CATOLICA DO RIO GRANDE SUL
4053,ETHICAL PERSPECTIVES,13700049,17831431,PEETERS
4054,ETHICAL THEORY AND MORAL PRACTICE,13862820,15728447,SPRINGER
4055,ETHICS & BEHAVIOR,10508422,15327019,
4056,ETHICS & GLOBAL POLITICS,16544951,16546369,TAYLOR & FRANCIS LTD
4057,ETHICS & INTERNATIONAL AFFAIRS,08926794,17477093,CAMBRIDGE UNIV PRESS
4058,ETHICS AND INFORMATION TECHNOLOGY,13881957,15728439,SPRINGER
4059,ETHICS,00141704,1539297X,UNIV CHICAGO PRESS
4060,ETHIK IN DER MEDIZIN,09357335,14371618,SPRINGER
4061,ETHIOPIAN JOURNAL OF HEALTH DEVELOPMENT,10216790,10216790,
4062,ETHNIC AND RACIAL STUDIES,01419870,14664356,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
4063,ETHNICITIES,14687968,17412706,SAGE PUBLICATIONS LTD
4064,ETHNICITY & DISEASE,1049510X,19450826,"ETHNICITY & DISEASE, INC"
4065,ETHNICITY & HEALTH,13557858,14653419,
4066,ETHNOGRAPHY,14661381,17412714,SAGE PUBLICATIONS LTD
4067,ETHNOHISTORY,00141801,15275477,DUKE UNIV PRESS
4068,ETHNOLOGIA SCANDINAVICA,03489698,03489698,SWEDISH SCIENCE PRESS
4069,ETHNOMUSICOLOGY FORUM,17411912,17411920,
4070,ETHNOMUSICOLOGY,00141836,21567417,SOC ETHNOMUSICOLOGY INC
4071,ETHNOS,00141844,1469588X,
4072,ETHOLOGY ECOLOGY & EVOLUTION,03949370,18287131,TAYLOR & FRANCIS LTD
4073,ETHOLOGY,01791613,14390310,WILEY
4074,ETHOS,00912131,15481352,WILEY
4075,ETIKK I PRAKSIS,18903991,18904009,
4076,ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT,10421629,15566501,SPRINGER
4077,ETRANSPORTATION,25901168,25901168,ELSEVIER
4078,ETRI JOURNAL,12256463,22337326,WILEY
4079,ETUDES ANGLAISES,0014195X,0014195X,KLINCKSIECK
4080,ETUDES CLASSIQUES,0014200X,0014200X,SOC ETUDES CLASSIQUES
4081,ETUDES FRANCAISES,00142085,14921405,PRESSES UNIV MONTREAL
4082,ETUDES GERMANIQUES,00142115,24265543,DIDIER-ERUDITION
4083,ETUDES LITTERAIRES,0014214X,0014214X,UNIV LAVAL
4084,ETUDES PHILOSOPHIQUES,00142166,21010056,PRESSES UNIV FRANCE
4085,ETUDES THEOLOGIQUES ET RELIGIEUSES,00142239,22729011,INST PROTESTANT THEOLOGIE
4086,EUPHORION-ZEITSCHRIFT FUR LITERATURGESCHICHTE,00142328,00142328,UNIVERSITATSVERLAG C WINTER HEIDELBERG GMBH
4087,EUPHROSYNE-REVISTA DE FILOLOGIA CLASSICA,08700133,27363082,BREPOLS PUBL
4088,EUPHYTICA,00142336,15735060,SPRINGER
4089,EURASIAN BUSINESS REVIEW,13094297,21474281,SPRINGER HEIDELBERG
4090,EURASIAN GEOGRAPHY AND ECONOMICS,15387216,19382863,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
4091,EURASIAN SOIL SCIENCE,10642293,1556195X,PLEIADES PUBLISHING INC
4092,EURASIP JOURNAL ON ADVANCES IN SIGNAL PROCESSING,16876180,16876180,SPRINGER
4093,EURASIP JOURNAL ON AUDIO SPEECH AND MUSIC PROCESSING,16874722,16874722,SPRINGER
4094,EURASIP JOURNAL ON IMAGE AND VIDEO PROCESSING,16875176,16875281,SPRINGER
4095,EURASIP JOURNAL ON WIRELESS COMMUNICATIONS AND NETWORKING,16871472,16871499,SPRINGER
4096,EURE-REVISTA LATINOAMERICANA DE ESTUDIOS URBANO REGIONALES,02507161,07176236,"PONTIFICIA UNIV CATOLICA CHILE, INST ESTUDIOS URBANOS TERRITORIALES"
4097,EUROINTERVENTION,1774024X,19696213,EUROPA EDITION
4098,EUROPACE,10995129,15322092,OXFORD UNIV PRESS
4099,EUROPEAN ACCOUNTING REVIEW,09638180,14684497,
4100,EUROPEAN ADDICTION RESEARCH,10226877,14219891,KARGER
4101,EUROPEAN ANNALS OF OTORHINOLARYNGOLOGY-HEAD AND NECK DISEASES,18797296,1879730X,
4102,EUROPEAN ARCHIVES OF OTO-RHINO- LARYNGOLOGY,09374477,14344726,SPRINGER
4103,EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE,09401334,14338491,SPRINGER HEIDELBERG
4104,EUROPEAN BIOPHYSICS JOURNAL,01757571,14321017,SPRINGER
4105,EUROPEAN BUSINESS ORGANIZATION LAW REVIEW,15667529,17416205,SPRINGER HEIDELBERG
4106,EUROPEAN CELLS & MATERIALS,14732262,14732262,"FORUM MULTIMEDIA PUBLISHING, LLC"
4107,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,10188827,1435165X,SPRINGER
4108,EUROPEAN CONSTITUTIONAL LAW REVIEW,15740196,17445515,CAMBRIDGE UNIV PRESS
4109,EUROPEAN CYTOKINE NETWORK,,19524005,JLE
4110,EUROPEAN EARLY CHILDHOOD EDUCATION RESEARCH JOURNAL,1350293X,17521807,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
4111,EUROPEAN EATING DISORDERS REVIEW,10724133,10990968,WILEY
4112,EUROPEAN ECONOMIC REVIEW,00142921,1873572X,ELSEVIER
4113,EUROPEAN EDUCATIONAL RESEARCH JOURNAL,14749041,14749041,SAGE PUBLICATIONS LTD
4114,EUROPEAN FINANCIAL MANAGEMENT,13547798,1468036X,WILEY
4115,EUROPEAN FOOD RESEARCH AND TECHNOLOGY,14382377,14382385,SPRINGER
4116,EUROPEAN GERIATRIC MEDICINE,18787649,18787657,SPRINGER
4117,EUROPEAN HEART JOURNAL SUPPLEMENTS,1520765X,15542815,OXFORD UNIV PRESS
4118,EUROPEAN HEART JOURNAL,0195668X,15229645,OXFORD UNIV PRESS
4119,EUROPEAN HEART JOURNAL-ACUTE CARDIOVASCULAR CARE,20488726,20488734,OXFORD UNIV PRESS
4120,EUROPEAN HEART JOURNAL- CARDIOVASCULAR IMAGING,20472404,20472412,OXFORD UNIV PRESS
4121,EUROPEAN HEART JOURNAL- CARDIOVASCULAR PHARMACOTHERAPY,20556837,20556845,OXFORD UNIV PRESS
4122,EUROPEAN HEART JOURNAL-QUALITY OF CARE AND CLINICAL OUTCOMES,20585225,20581742,OXFORD UNIV PRESS
4123,EUROPEAN HISTORY QUARTERLY,02656914,14617110,SAGE PUBLICATIONS LTD
4124,EUROPEAN JOURNAL FOR PHILOSOPHY OF RELIGION,16898311,16898311,EUROPEAN JOURNAL PHILOSOPHY RELIGION
4125,EUROPEAN JOURNAL FOR PHILOSOPHY OF SCIENCE,18794912,18794920,SPRINGER
4126,EUROPEAN JOURNAL OF AGEING,16139372,16139380,SPRINGER
4127,EUROPEAN JOURNAL OF AGRONOMY,11610301,18737331,ELSEVIER
4128,EUROPEAN JOURNAL OF ANAESTHESIOLOGY,02650215,13652346,LIPPINCOTT WILLIAMS & WILKINS
4129,EUROPEAN JOURNAL OF APPLIED MATHEMATICS,09567925,14694425,CAMBRIDGE UNIV PRESS
4130,EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY,14396319,14396327,SPRINGER
4131,EUROPEAN JOURNAL OF ARCHAEOLOGY,14619571,17412722,CAMBRIDGE UNIV PRESS
4132,EUROPEAN JOURNAL OF CANCER CARE,09615423,13652354,WILEY
4133,EUROPEAN JOURNAL OF CANCER PREVENTION,09598278,14735709,LIPPINCOTT WILLIAMS & WILKINS
4134,EUROPEAN JOURNAL OF CANCER,09598049,18790852,ELSEVIER SCI LTD
4135,EUROPEAN JOURNAL OF CARDIO- THORACIC SURGERY,10107940,1873734X,OXFORD UNIV PRESS INC
4136,EUROPEAN JOURNAL OF CARDIOVASCULAR NURSING,14745151,18731953,OXFORD UNIV PRESS
4137,EUROPEAN JOURNAL OF CELL BIOLOGY,01719335,16181298,ELSEVIER GMBH
4138,EUROPEAN JOURNAL OF CLINICAL INVESTIGATION,00142972,13652362,WILEY
4139,EUROPEAN JOURNAL OF CLINICAL MICROBIOLOGY & INFECTIOUS DISEASES,09349723,14354373,SPRINGER
4140,EUROPEAN JOURNAL OF CLINICAL NUTRITION,09543007,14765640,SPRINGERNATURE
4141,EUROPEAN JOURNAL OF CLINICAL PHARMACOLOGY,00316970,14321041,SPRINGER HEIDELBERG
4142,EUROPEAN JOURNAL OF COMBINATORICS,01956698,10959971,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD
4143,EUROPEAN JOURNAL OF COMMUNICATION,02673231,14603705,SAGE PUBLICATIONS LTD
4144,EUROPEAN JOURNAL OF CONTRACEPTION AND REPRODUCTIVE HEALTH CARE,13625187,14730782,TAYLOR & FRANCIS LTD
4145,EUROPEAN JOURNAL OF CONTROL,09473580,14355671,ELSEVIER
4146,EUROPEAN JOURNAL OF CRIMINOLOGY,14773708,17412609,SAGE PUBLICATIONS LTD
4147,EUROPEAN JOURNAL OF CULTURAL STUDIES,13675494,14603551,SAGE PUBLICATIONS LTD
4148,EUROPEAN JOURNAL OF DENTAL EDUCATION,13965883,16000579,WILEY
4149,EUROPEAN JOURNAL OF DERMATOLOGY,11671122,19524013,JLE
4150,EUROPEAN JOURNAL OF DEVELOPMENT RESEARCH,09578811,17439728,PALGRAVE MACMILLAN LTD
4151,EUROPEAN JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,17405629,17405610,
4152,EUROPEAN JOURNAL OF DRUG METABOLISM AND PHARMACOKINETICS,03787966,21070180,SPRINGER FRANCE
4153,EUROPEAN JOURNAL OF EDUCATION,01418211,14653435,WILEY
4154,EUROPEAN JOURNAL OF EMERGENCY MEDICINE,09699546,14735695,LIPPINCOTT WILLIAMS & WILKINS
4155,EUROPEAN JOURNAL OF ENDOCRINOLOGY,08044643,1479683X,OXFORD UNIV PRESS
4156,EUROPEAN JOURNAL OF ENGLISH STUDIES,13825577,17444233,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
4157,EUROPEAN JOURNAL OF ENTOMOLOGY,,18028829,
4158,EUROPEAN JOURNAL OF ENVIRONMENTAL AND CIVIL ENGINEERING,19648189,21167214,TAYLOR & FRANCIS LTD
4159,EUROPEAN JOURNAL OF EPIDEMIOLOGY,03932990,15737284,SPRINGER
4160,EUROPEAN JOURNAL OF FINANCE,1351847X,14664364,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
4161,EUROPEAN JOURNAL OF FOREST RESEARCH,16124669,16124677,SPRINGER
4162,EUROPEAN JOURNAL OF FUTURES RESEARCH,21954194,21952248,SPRINGER
4163,EUROPEAN JOURNAL OF GASTROENTEROLOGY & HEPATOLOGY,0954691X,14735687,LIPPINCOTT WILLIAMS & WILKINS
4164,EUROPEAN JOURNAL OF GENERAL PRACTICE,13814788,17511402,TAYLOR & FRANCIS LTD
4165,EUROPEAN JOURNAL OF GYNAECOLOGICAL ONCOLOGY,03922936,27090086,MRE PRESS
4166,EUROPEAN JOURNAL OF HAEMATOLOGY,09024441,16000609,WILEY
4167,EUROPEAN JOURNAL OF HEALTH ECONOMICS,16187598,16187601,SPRINGER
4168,EUROPEAN JOURNAL OF HEALTH PSYCHOLOGY,25128442,25128450,HOGREFE PUBLISHING CORP
4169,EUROPEAN JOURNAL OF HEART FAILURE,13889842,18790844,WILEY
4170,EUROPEAN JOURNAL OF HISTOCHEMISTRY,1121760X,20388306,PAGEPRESS PUBL
4171,EUROPEAN JOURNAL OF HORTICULTURAL SCIENCE,16114426,16114434,CABI PUBLISHING
4172,EUROPEAN JOURNAL OF HOSPITAL PHARMACY,20479956,20479964,BMJ PUBLISHING GROUP
4173,EUROPEAN JOURNAL OF HUMAN GENETICS,10184813,14765438,SPRINGERNATURE
4174,EUROPEAN JOURNAL OF IMMUNOLOGY,00142980,15214141,WILEY
4175,EUROPEAN JOURNAL OF INDUSTRIAL ENGINEERING,17515254,17515262,INDERSCIENCE ENTERPRISES LTD
4176,EUROPEAN JOURNAL OF INDUSTRIAL RELATIONS,09596801,14617129,SAGE PUBLICATIONS LTD
4177,EUROPEAN JOURNAL OF INFLAMMATION,1721727X,20587392,SAGE PUBLICATIONS INC
4178,EUROPEAN JOURNAL OF INFORMATION SYSTEMS,0960085X,14769344,TAYLOR & FRANCIS LTD
4179,EUROPEAN JOURNAL OF INNOVATION MANAGEMENT,14601060,17587115,EMERALD GROUP PUBLISHING LTD
4180,EUROPEAN JOURNAL OF INORGANIC CHEMISTRY,14341948,10990682,WILEY-V C H VERLAG GMBH
4181,EUROPEAN JOURNAL OF INTEGRATIVE MEDICINE,18763820,18763839,ELSEVIER SCIENCE INC
4182,EUROPEAN JOURNAL OF INTERNAL MEDICINE,09536205,18790828,ELSEVIER
4183,EUROPEAN JOURNAL OF INTERNATIONAL LAW,09385428,14643596,OXFORD UNIV PRESS
4184,EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,17516757,17516765,INDERSCIENCE ENTERPRISES LTD
4185,EUROPEAN JOURNAL OF INTERNATIONAL RELATIONS,13540661,14603713,SAGE PUBLICATIONS LTD
4186,EUROPEAN JOURNAL OF LAW AND ECONOMICS,09291261,15729990,SPRINGER
4187,EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,,14389312,WILEY
4188,EUROPEAN JOURNAL OF MARKETING,03090566,17587123,EMERALD GROUP PUBLISHING LTD
4189,EUROPEAN JOURNAL OF MASS SPECTROMETRY,14690667,17516838,SAGE PUBLICATIONS LTD
4190,EUROPEAN JOURNAL OF MECHANICS A-SOLIDS,09977538,18737285,ELSEVIER
4191,EUROPEAN JOURNAL OF MECHANICS B-FLUIDS,09977546,18737390,ELSEVIER
4192,EUROPEAN JOURNAL OF MEDICAL GENETICS,17697212,18780849,ELSEVIER
4193,EUROPEAN JOURNAL OF MEDICAL RESEARCH,09492321,2047783X,BMC
